Date,High,Low,Close,Adj Close,Volume,Open,Interest,Currency,Inflation,Day,Month
1997-05-16,0.098958,0.085417,0.086458,0.086458,294000000,0.098438,6.71,0.6122833,2.2,16,5
1997-05-19,0.088542,0.08125,0.085417,0.085417,122136000,0.088021,6.71,0.6122833,2.2,19,5
1997-05-20,0.0875,0.081771,0.081771,0.081771,109344000,0.086458,6.71,0.6122833,2.2,20,5
1997-05-21,0.082292,0.06875,0.071354,0.071354,377064000,0.081771,6.71,0.6122833,2.2,21,5
1997-05-22,0.072396,0.065625,0.069792,0.069792,235536000,0.071875,6.71,0.6122833,2.2,22,5
1997-05-23,0.076042,0.066667,0.075,0.075,318744000,0.070313,6.71,0.6122833,2.2,23,5
1997-05-27,0.082292,0.072917,0.079167,0.079167,173952000,0.075521,6.71,0.6122833,2.2,27,5
1997-05-28,0.081771,0.076563,0.076563,0.076563,91488000,0.08125,6.71,0.6122833,2.2,28,5
1997-05-29,0.077083,0.073958,0.07526,0.07526,69456000,0.077083,6.71,0.6122833,2.2,29,5
1997-05-30,0.075521,0.073958,0.075,0.075,51888000,0.075,6.71,0.6122833,2.2,30,5
1997-06-02,0.076563,0.075,0.075521,0.075521,11832000,0.075521,6.49,0.6070476,2.3,2,6
1997-06-03,0.076563,0.073958,0.073958,0.073958,23664000,0.076563,6.49,0.6070476,2.3,3,6
1997-06-04,0.074479,0.069792,0.070833,0.070833,61608000,0.073958,6.49,0.6070476,2.3,4,6
1997-06-05,0.077083,0.06875,0.077083,0.077083,113448000,0.070833,6.49,0.6070476,2.3,5,6
1997-06-06,0.085417,0.075521,0.082813,0.082813,156144000,0.075781,6.49,0.6070476,2.3,6,6
1997-06-09,0.085417,0.082813,0.084375,0.084375,47040000,0.082813,6.49,0.6070476,2.3,9,6
1997-06-10,0.085417,0.076563,0.079167,0.079167,109176000,0.085417,6.49,0.6070476,2.3,10,6
1997-06-11,0.080208,0.076563,0.077083,0.077083,23760000,0.079688,6.49,0.6070476,2.3,11,6
1997-06-12,0.082292,0.077604,0.080208,0.080208,32640000,0.079167,6.49,0.6070476,2.3,12,6
1997-06-13,0.08125,0.079167,0.079167,0.079167,13872000,0.08125,6.49,0.6070476,2.3,13,6
1997-06-16,0.080208,0.078125,0.078646,0.078646,18264000,0.080208,6.49,0.6070476,2.3,16,6
1997-06-17,0.079948,0.07474,0.07526,0.07526,94128000,0.079948,6.49,0.6070476,2.3,17,6
1997-06-18,0.076823,0.075,0.075521,0.075521,49296000,0.076042,6.49,0.6070476,2.3,18,6
1997-06-19,0.076563,0.075,0.075521,0.075521,20064000,0.075521,6.49,0.6070476,2.3,19,6
1997-06-20,0.077604,0.075,0.076302,0.076302,67752000,0.076563,6.49,0.6070476,2.3,20,6
1997-06-23,0.077083,0.073958,0.075,0.075,20952000,0.077083,6.49,0.6070476,2.3,23,6
1997-06-24,0.076302,0.073958,0.075521,0.075521,15024000,0.07526,6.49,0.6070476,2.3,24,6
1997-06-25,0.076302,0.074479,0.075521,0.075521,42120000,0.076302,6.49,0.6070476,2.3,25,6
1997-06-26,0.076042,0.07526,0.075521,0.075521,63792000,0.076042,6.49,0.6070476,2.3,26,6
1997-06-27,0.075781,0.073958,0.074479,0.074479,23760000,0.075781,6.49,0.6070476,2.3,27,6
1997-06-30,0.079948,0.073958,0.077083,0.077083,54936000,0.075521,6.49,0.6070476,2.3,30,6
1997-07-01,0.077083,0.075521,0.075781,0.075781,25848000,0.077083,6.22,0.5987695,2.2,1,7
1997-07-02,0.079688,0.075521,0.079427,0.079427,77640000,0.075781,6.22,0.5987695,2.2,2,7
1997-07-03,0.095833,0.079688,0.095573,0.095573,251544000,0.079948,6.22,0.5987695,2.2,3,7
1997-07-07,0.101042,0.091667,0.1,0.1,161064000,0.091667,6.22,0.5987695,2.2,7,7
1997-07-08,0.116667,0.102083,0.115104,0.115104,310344000,0.102083,6.22,0.5987695,2.2,8,7
1997-07-09,0.119271,0.113542,0.116146,0.116146,165240000,0.115104,6.22,0.5987695,2.2,9,7
1997-07-10,0.128646,0.116667,0.128125,0.128125,181032000,0.116667,6.22,0.5987695,2.2,10,7
1997-07-11,0.126042,0.110417,0.114583,0.114583,210624000,0.126042,6.22,0.5987695,2.2,11,7
1997-07-14,0.116667,0.105729,0.106771,0.106771,92088000,0.116146,6.22,0.5987695,2.2,14,7
1997-07-15,0.123958,0.106771,0.121875,0.121875,185496000,0.106771,6.22,0.5987695,2.2,15,7
1997-07-16,0.12474,0.115104,0.116667,0.116667,60480000,0.122396,6.22,0.5987695,2.2,16,7
1997-07-17,0.117188,0.107813,0.110938,0.110938,63384000,0.117188,6.22,0.5987695,2.2,17,7
1997-07-18,0.110938,0.107813,0.107813,0.107813,15600000,0.109375,6.22,0.5987695,2.2,18,7
1997-07-21,0.109896,0.107292,0.109115,0.109115,11496000,0.108854,6.22,0.5987695,2.2,21,7
1997-07-22,0.109375,0.103125,0.106771,0.106771,31272000,0.108333,6.22,0.5987695,2.2,22,7
1997-07-23,0.116667,0.108854,0.114583,0.114583,65184000,0.109375,6.22,0.5987695,2.2,23,7
1997-07-24,0.115625,0.110938,0.113021,0.113021,24336000,0.115104,6.22,0.5987695,2.2,24,7
1997-07-25,0.1125,0.110938,0.111458,0.111458,12408000,0.110938,6.22,0.5987695,2.2,25,7
1997-07-28,0.119792,0.110938,0.116146,0.116146,51480000,0.111458,6.22,0.5987695,2.2,28,7
1997-07-29,0.125,0.116667,0.123958,0.123958,96288000,0.118229,6.22,0.5987695,2.2,29,7
1997-07-30,0.12526,0.121354,0.122396,0.122396,50352000,0.125,6.22,0.5987695,2.2,30,7
1997-07-31,0.121875,0.116667,0.119792,0.119792,29088000,0.121875,6.22,0.5987695,2.2,31,7
1997-08-01,0.120833,0.1125,0.120833,0.120833,71760000,0.117188,6.3,0.6235935,2.2,1,8
1997-08-04,0.120573,0.115104,0.115625,0.115625,53424000,0.11875,6.3,0.6235935,2.2,4,8
1997-08-05,0.116667,0.107292,0.110417,0.110417,60648000,0.116667,6.3,0.6235935,2.2,5,8
1997-08-06,0.115625,0.109375,0.1125,0.1125,24864000,0.110417,6.3,0.6235935,2.2,6,8
1997-08-07,0.113021,0.10625,0.108854,0.108854,40680000,0.1125,6.3,0.6235935,2.2,7,8
1997-08-08,0.115104,0.105208,0.114583,0.114583,44232000,0.108333,6.3,0.6235935,2.2,8,8
1997-08-11,0.116667,0.1125,0.116406,0.116406,24792000,0.114583,6.3,0.6235935,2.2,11,8
1997-08-12,0.115104,0.109896,0.109896,0.109896,11424000,0.114063,6.3,0.6235935,2.2,12,8
1997-08-13,0.111458,0.108333,0.109896,0.109896,11808000,0.111458,6.3,0.6235935,2.2,13,8
1997-08-14,0.1125,0.10599,0.107813,0.107813,20832000,0.108854,6.3,0.6235935,2.2,14,8
1997-08-15,0.107813,0.096875,0.105729,0.105729,31944000,0.106771,6.3,0.6235935,2.2,15,8
1997-08-18,0.102604,0.098438,0.102083,0.102083,35688000,0.102604,6.3,0.6235935,2.2,18,8
1997-08-19,0.110417,0.102604,0.108333,0.108333,20064000,0.104688,6.3,0.6235935,2.2,19,8
1997-08-20,0.109375,0.103646,0.108333,0.108333,19992000,0.109375,6.3,0.6235935,2.2,20,8
1997-08-21,0.108594,0.103646,0.105729,0.105729,12480000,0.106771,6.3,0.6235935,2.2,21,8
1997-08-22,0.10625,0.104688,0.10625,0.10625,14256000,0.105208,6.3,0.6235935,2.2,22,8
1997-08-25,0.113021,0.105208,0.110938,0.110938,22536000,0.105208,6.3,0.6235935,2.2,25,8
1997-08-26,0.117708,0.111458,0.117188,0.117188,51480000,0.111979,6.3,0.6235935,2.2,26,8
1997-08-27,0.116146,0.1125,0.115885,0.115885,27840000,0.115365,6.3,0.6235935,2.2,27,8
1997-08-28,0.119792,0.114063,0.11875,0.11875,22944000,0.115104,6.3,0.6235935,2.2,28,8
1997-08-29,0.11875,0.116146,0.116927,0.116927,14448000,0.118229,6.3,0.6235935,2.2,29,8
1997-09-02,0.11875,0.116667,0.117708,0.117708,14640000,0.117188,6.21,0.6244864,2.2,2,9
1997-09-03,0.120833,0.115625,0.116667,0.116667,39288000,0.117188,6.21,0.6244864,2.2,3,9
1997-09-04,0.127604,0.117188,0.127604,0.127604,66960000,0.118229,6.21,0.6244864,2.2,4,9
1997-09-05,0.133333,0.122917,0.125,0.125,38160000,0.129167,6.21,0.6244864,2.2,5,9
1997-09-08,0.151042,0.125,0.15,0.15,112968000,0.126563,6.21,0.6244864,2.2,8,9
1997-09-09,0.169271,0.151302,0.161979,0.161979,179424000,0.157031,6.21,0.6244864,2.2,9,9
1997-09-10,0.166406,0.15625,0.165104,0.165104,77328000,0.165625,6.21,0.6244864,2.2,10,9
1997-09-11,0.166667,0.152083,0.157813,0.157813,85248000,0.166667,6.21,0.6244864,2.2,11,9
1997-09-12,0.184896,0.157813,0.184375,0.184375,66672000,0.159375,6.21,0.6244864,2.2,12,9
1997-09-15,0.183854,0.152604,0.154688,0.154688,111672000,0.183333,6.21,0.6244864,2.2,15,9
